root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,epoxy.items.cavity,epoxy.items.ct,epoxy.items.degas_machine_id,epoxy.items.epoxy_batch1,epoxy.items.epoxy_batch2,epoxy.items.epoxy_batch3,epoxy.items.epoxy_batch4,epoxy.items.epoxy_pressure1,epoxy.items.epoxy_pressure2,epoxy.items.station_id
wip_id,F9F237404M21Y82AM,2022-09-06 17:48:29,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.35,5,383193,,,,13.04,13.09,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F23740C8T1Y82AT,2022-09-06 17:48:29,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.56,2,393827,,,,18.37,18.36,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F237403W11Y82AW,2022-09-06 17:48:36,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.47,3,389725,,,,14.85,15.11,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237405JN1Y82A9,2022-09-06 17:48:41,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.95,3,389725,,,,12.45,12.26,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F237404NQ1Y82AW,2022-09-06 17:48:45,passed,,Ramp,Everwin,TI,N199,Baoti,A2,31.71,5,383193,,,,16.70,16.82,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F237408J71Y82AM,2022-09-06 17:48:46,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.25,2,393827,,,,15.23,15.80,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F23740B361Y82AW,2022-09-06 17:48:53,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.34,5,383193,,,,11.46,11.37,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F23740C7Y1Y82AR,2022-09-06 17:48:53,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.28,2,393827,,,,16.84,17.01,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F237405H11Y82AZ,2022-09-06 17:48:57,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.75,3,389725,,,,13.53,13.48,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F237403RG1Y82AW,2022-09-06 17:49:02,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.14,3,389725,,,,17.48,17.41,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237404AH1Y82A5,2022-09-06 17:49:05,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.36,2,393827,,,,16.53,16.54,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F237404L11Y82AR,2022-09-06 17:49:10,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.29,5,383193,,,,13.07,13.09,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F237405W91Y82AL,2022-09-06 17:49:10,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.56,2,393827,,,,18.33,18.32,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F23740AZN1Y82AT,2022-09-06 17:49:13,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.22,5,383193,,,,12.31,12.25,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F237403ST1Y82AG,2022-09-06 17:49:18,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.48,3,389725,,,,14.79,15.06,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F23740ASQ1Y82AC,2022-09-06 17:49:22,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.91,3,389725,,,,12.44,12.28,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F237404MS1Y82AX,2022-09-06 17:49:26,passed,,Ramp,Everwin,TI,N199,Baoti,A2,31.72,5,383193,,,,16.70,16.82,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F2374060X1Y82AK,2022-09-06 17:49:26,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.27,2,393827,,,,15.25,15.82,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F237409B61Y82A8,2022-09-06 17:49:35,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.55,5,383193,,,,11.35,11.25,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F23740C6Q1Y82A2,2022-09-06 17:49:35,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.29,2,393827,,,,16.95,17.12,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F237405GG1Y82AM,2022-09-06 17:49:38,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.68,3,389725,,,,13.59,13.53,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F237403SM1Y82AN,2022-09-06 17:49:45,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.08,3,389725,,,,17.55,17.48,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237406151Y82A8,2022-09-06 17:49:45,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.37,2,393827,,,,16.52,16.52,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F237408K51Y82AL,2022-09-06 17:49:51,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.60,2,393827,,,,18.38,18.35,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F237404Q01Y82AE,2022-09-06 17:49:51,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.34,5,383193,,,,13.07,13.08,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F23740D9K1Y82AX,2022-09-06 17:49:55,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.33,5,383193,,,,12.24,12.17,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F237407R21Y82A6,2022-09-06 17:50:01,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.50,3,389725,,,,14.83,15.10,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237405HF1Y82AK,2022-09-06 17:50:04,passed,,Ramp,Everwin,TI,N199,Baoti,A2,33.02,3,389725,,,,12.47,12.29,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F2374087D1Y82AE,2022-09-06 17:50:07,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.25,2,393827,,,,15.25,15.82,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F237404NJ1Y82A2,2022-09-06 17:50:07,passed,,Ramp,Everwin,TI,N199,Baoti,A2,31.71,5,383193,,,,16.71,16.83,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F237408LA1Y82AC,2022-09-06 17:50:16,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.33,2,393827,,,,16.87,17.04,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F23740AG01Y82AY,2022-09-06 17:50:16,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.51,5,383193,,,,11.36,11.26,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F23740BA91Y82A6,2022-09-06 17:50:19,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.69,3,389725,,,,13.58,13.52,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F23740AGK1Y82AD,2022-09-06 17:50:27,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.13,3,389725,,,,17.57,17.52,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F23740AJ61Y82AL,2022-09-06 17:50:32,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.61,2,393827,,,,18.39,18.36,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F237404MB1Y82AC,2022-09-06 17:50:32,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.29,5,383193,,,,13.06,13.09,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F23740B2X1Y82A8,2022-09-06 17:50:38,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.30,5,383193,,,,12.23,12.16,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F2374087K1Y82A8,2022-09-06 17:50:40,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.25,2,393827,,,,16.52,16.52,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F237407R61Y82A2,2022-09-06 17:50:43,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.51,3,389725,,,,14.85,15.11,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F237405GT1Y82AA,2022-09-06 17:50:46,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.97,3,389725,,,,12.38,12.21,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F237404N71Y82AD,2022-09-06 17:50:48,passed,,Ramp,Everwin,TI,N199,Baoti,A2,31.71,5,383193,,,,16.68,16.79,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F2374087R1Y82A2,2022-09-06 17:50:55,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.27,2,393827,,,,15.28,15.85,LFDG_MEG3_OQC1_01_EPOXY
wip_id,F9F23740C0B1Y82AZ,2022-09-06 17:50:57,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.31,2,393827,,,,16.83,17.02,LFDG_MEG3_OQC1_02_EPOXY
extrusion_id,EWB23330VNBAC1252,2022-09-06 17:50:58,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.47,5,383193,,,,11.38,11.29,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F237406GW1Y82A6,2022-09-06 17:51:00,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.70,3,389725,,,,13.65,13.58,LFDG_MEG3_OQC1_03_EPOXY
wip_id,F9F237403RC1Y82A0,2022-09-06 17:51:10,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.15,3,389725,,,,17.57,17.50,LFDG_MEG3_OQC1_04_EPOXY
wip_id,F9F2374078F1Y82AA,2022-09-06 17:51:12,passed,,Ramp,Everwin,TI,N199,Baoti,A2,32.56,2,393827,,,,18.38,18.35,LFDG_MEG3_OQC1_02_EPOXY
wip_id,F9F237404NC1Y82A8,2022-09-06 17:51:14,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.32,5,383193,,,,13.07,13.09,LFDG_MEG3_OQC1_05_EPOXY
wip_id,F9F2374070P1Y82AS,2022-09-06 17:51:20,passed,,Ramp,Everwin,TI,N199,Baoti,A1,33.27,5,383193,,,,12.22,12.15,LFDG_MEG3_OQC1_06_EPOXY
wip_id,F9F237404EZ1Y82AB,2022-09-06 17:51:20,passed,,Ramp,Everwin,TI,N199,Baoti,A1,32.35,2,393827,,,,16.61,16.06,LFDG_MEG3_OQC1_01_EPOXY
