root_serial_type,root_serial,local_time,result,defects,configs.Bin,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,fg-bc-le.items.fg_sn,fg-bc-le.items.station_id,fg-bc-le.items.wip_sn
wip_id,F9F234508D21Y82AF,2022-09-06 19:41:13,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WJ24GQ4W,LFDG_KY-7D2F-OQC1_03_FG-BC-LE,F9F234508D21Y82AF
wip_id,F9F23450CG91Y82AV,2022-09-06 19:41:15,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WK24GQ4V,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F23450CG91Y82AV
wip_id,F9F23320JMR1Y82AY,2022-09-06 19:41:21,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303WL24GQ4U,LFDG_KY-7D2F-OQC1_02_FG-BC-LE,F9F23320JMR1Y82AY
wip_id,F9F23470E861Y82AJ,2022-09-06 19:41:22,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303WM24GQ4T,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F23470E861Y82AJ
wip_id,F9F23440E1X1Y82AH,2022-09-06 19:41:25,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WN24GQ4S,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F23440E1X1Y82AH
wip_id,F9F234405VF1Y82AS,2022-09-06 19:41:25,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303WP24GQ4R,LFDG_KY-7D2F-OQC1_01_FG-BC-LE,F9F234405VF1Y82AS
wip_id,F9F234403931Y82AY,2022-09-06 19:41:35,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303WQ24GQ4Q,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F234403931Y82AY
wip_id,F9F234702ZX1Y82AY,2022-09-06 19:41:41,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WR24GQ4P,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F234702ZX1Y82AY
wip_id,F9F234300QV1Y82AZ,2022-09-06 19:41:43,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303WS24GQ4N,LFDG_KY-7D2F-OQC1_02_FG-BC-LE,F9F234300QV1Y82AZ
wip_id,F9F23460BYD1Y82AB,2022-09-06 19:41:46,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303WT24GQ4M,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F23460BYD1Y82AB
wip_id,F9F23430KVF1Y82AD,2022-09-06 19:41:48,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WU24GQ4L,LFDG_KY-7D2F-OQC1_01_FG-BC-LE,F9F23430KVF1Y82AD
wip_id,F9F233205CT1Y82A2,2022-09-06 19:41:54,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WV24GQ4K,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F233205CT1Y82A2
wip_id,F9F2346096C1Y82AQ,2022-09-06 19:41:59,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WW24GQ4J,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F2346096C1Y82AQ
wip_id,F9F23460GE91Y82AW,2022-09-06 19:42:07,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303WY24GQ4G,LFDG_KY-7D2F-OQC1_07_FG-BC-LE,F9F23460GE91Y82AW
wip_id,F9F23440F1Q1Y82AP,2022-09-06 19:42:07,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303WX24GQ4H,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F23440F1Q1Y82AP
