root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,2d-bc-le.items.station_id
wip_id,F9F237304U71Y82AW,2022-09-06 08:44:51,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304U81Y82AV,2022-09-06 08:44:59,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-008
wip_id,F9F237304U91Y82AU,2022-09-06 08:45:01,passed,,Ramp,Everwin,TI,N199,KRS,LFDG_MEGA3_2D-BC-LE_1-005
wip_id,F9F237304UB1Y82AS,2022-09-06 08:45:04,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-003
wip_id,F9F237304UC1Y82AR,2022-09-06 08:45:08,passed,,Ramp,Everwin,TI,N199,KRS,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304UD1Y82AQ,2022-09-06 08:45:13,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-008
wip_id,F9F237304UE1Y82AP,2022-09-06 08:45:15,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-009
wip_id,F9F237304UF1Y82AN,2022-09-06 08:45:15,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-005
wip_id,F9F237304UG1Y82AM,2022-09-06 08:45:20,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-003
wip_id,F9F237304UH1Y82AL,2022-09-06 08:45:24,passed,,Ramp,Everwin,TI,N199,KRS,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304UJ1Y82AK,2022-09-06 08:45:27,passed,,Ramp,Everwin,TI,N199,KRS,LFDG_MEGA3_2D-BC-LE_1-008
wip_id,F9F237304UK1Y82AJ,2022-09-06 08:45:28,passed,,Ramp,Everwin,TI,N199,KRS,LFDG_MEGA3_2D-BC-LE_1-005
wip_id,F9F237304UL1Y82AH,2022-09-06 08:45:33,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-009
wip_id,F9F237304UM1Y82AG,2022-09-06 08:45:34,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-003
wip_id,F9F237304UN1Y82AF,2022-09-06 08:45:38,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304UP1Y82AE,2022-09-06 08:45:43,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-008
wip_id,F9F237304UQ1Y82AD,2022-09-06 08:45:44,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-005
wip_id,F9F237304UR1Y82AC,2022-09-06 08:45:48,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-003
wip_id,F9F237304US1Y82AB,2022-09-06 08:45:50,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-009
wip_id,F9F237304UT1Y82AA,2022-09-06 08:45:51,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304UU1Y82A9,2022-09-06 08:46:00,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-008
wip_id,F9F237304UV1Y82A8,2022-09-06 08:46:01,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-005
wip_id,F9F237304UW1Y82A7,2022-09-06 08:46:04,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-009
wip_id,F9F237304UX1Y82A6,2022-09-06 08:46:05,passed,,Ramp,Everwin,TI,N199,KRS,LFDG_MEGA3_2D-BC-LE_1-003
wip_id,F9F237304UY1Y82A5,2022-09-06 08:46:08,passed,,Ramp,Herchang,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304UZ1Y82A4,2022-09-06 08:46:16,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-008
wip_id,F9F237304V01Y82A0,2022-09-06 08:46:17,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-005
wip_id,F9F237304V11Y82AZ,2022-09-06 08:46:21,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-003
wip_id,F9F237304V21Y82AY,2022-09-06 08:46:21,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-009
wip_id,F9F237304V31Y82AX,2022-09-06 08:46:24,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304V41Y82AW,2022-09-06 08:46:30,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-008
wip_id,F9F237304V51Y82AV,2022-09-06 08:46:31,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-005
wip_id,F9F237304V61Y82AU,2022-09-06 08:46:38,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-003
wip_id,F9F237304V71Y82AT,2022-09-06 08:46:39,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-009
wip_id,F9F237304V91Y82AR,2022-09-06 08:46:40,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-007
wip_id,F9F237304V81Y82AS,2022-09-06 08:46:40,passed,,Ramp,Everwin,TI,N199,Baoti,LFDG_MEGA3_2D-BC-LE_1-010
wip_id,F9F237304VA1Y82AQ,2022-09-06 08:46:43,passed,,Ramp,Everwin,TI,N199,KRS,LFDG_MEGA3_2D-BC-LE_1-008
