root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,polish-qc.Bubble@Epoxy,polish-qc.Cutter mark@Volcano,polish-qc.Dent@3D profile,polish-qc.Dent@Epoxy,polish-qc.FAI130 OOS Large@Crown hole width,polish-qc.FAI131 OOS Large@Crown hole length,polish-qc.FAI90 OOS Large@SPK inner hole length,polish-qc.Jagged Edge@Split outer,polish-qc.Metal Poor Machining@Split outer,polish-qc.Metal exposed@Epoxy,polish-qc.Over machining@3D profile,polish-qc.Over polish@Volcano chamfer,polish-qc.Press mark@Epoxy,polish-qc.Scratch@Split outer,polish-qc.Sub-flush@Split outer,polish-qc.insight.test_attributes.test_result,polish-qc.insight.test_attributes.uut_start,polish-qc.insight.test_attributes.uut_stop,polish-qc.insight.test_station_attributes.software_name,polish-qc.insight.test_station_attributes.software_version,polish-qc.insight.test_station_attributes.station_id,polish-qc.insight.uut_attributes.build,polish-qc.insight.uut_attributes.op_name,polish-qc.insight.uut_attributes.shift,polish-qc.insight.uut_attributes.station_name,polish-qc.insight.uut_attributes.station_unique,polish-qc.insight.uut_attributes.station_vendor
wip_id,F9F2364010M1Y82A3,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23640CBW1Y82AJ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236102R01Y82AK,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236400L61Y82AT,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236501ZA1Y82AG,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236301U31Y82A6,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236508M71Y82AE,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236602UL1Y82AK,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236401GB1Y82AZ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23570CRX1Y82A9,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236604AA1Y82AD,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,KRS,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F2361022U1Y82AS,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F2361001C1Y82AD,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23620BY01Y82AN,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236406H11Y82A1,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236201S31Y82AD,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235508101Y82AG,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F2361007K1Y82AN,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236602J11Y82A0,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236402JB1Y82AS,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235705V71Y82AU,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236204781Y82AU,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23640CKJ1Y82A6,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236209PZ1Y82AJ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235500UU1Y82AH,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236207ZB1Y82AC,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F2366055K1Y82AJ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236501U51Y82A2,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F23570DSA1Y82AS,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236504931Y82AQ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,KRS,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235609851Y82AN,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F2356011C1Y82AA,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F2364071Q1Y82AR,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F2363059N1Y82A6,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235502Z21Y82AS,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236603K11Y82AW,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F234601BX1Y82AY,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F235202M91Y82AQ,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
wip_id,F9F236207GU1Y82AC,2022/9/6 09:57,passed,,Ramp,Everwin,TI,N199,Baoti,,,,,,,,,,,,,,,,pass,2022/9/6 09:57,2022/9/6 09:57,MGTRACE,V1.0.10,LFDG_MEGA3-1F-OQC1_01_POLISH,Ramp,operator,D,,1,LF
