root_serial_type,root_serial,local_time,result,defects,configs.Bin,configs.Build,configs.DOE,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,color.Color_A_Star_Volcano,color.Color_B_Star_Volcano,color.Color_L_Star_Volcano,color.insight.test_attributes.test_result,color.insight.test_attributes.unit_serial_number,color.insight.test_attributes.uut_start,color.insight.test_attributes.uut_stop,color.insight.test_station_attributes.fixture_id,color.insight.test_station_attributes.head_id,color.insight.test_station_attributes.line_id,color.insight.test_station_attributes.machine_id,color.insight.test_station_attributes.software_name,color.insight.test_station_attributes.software_version,color.insight.test_station_attributes.station_id,color.insight.uut_attributes.Dot_SN,color.insight.uut_attributes.Trace_SN,color.insight.uut_attributes.bin,color.properties.Bin
wip_id,F9F2332039H1Y82AP,2022-09-07 02:51:49,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.898,6.56,67.926,pass,F9F2332039H1Y82AP,2022-09-07 02:51:15,2022-09-07 02:51:49,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F2332039H1Y82AP,BinA,BinA
wip_id,F9F235407BL1Y82A2,2022-09-07 07:04:29,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.54,6.249,67.276,pass,F9F235407BL1Y82A2,2022-09-07 07:03:54,2022-09-07 07:04:29,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235407BL1Y82A2,BinA,BinA
wip_id,F9F23260GBC1Y82A8,2022-09-07 02:51:49,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.999,6.624,65.795,pass,F9F23260GBC1Y82A8,2022-09-07 02:51:15,2022-09-07 02:51:49,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23260GBC1Y82A8,BinA,BinA
wip_id,F9F234709641Y82AX,2022-09-07 02:51:56,passed,,BinO,Ramp,,Everwin,TI,N199,KRS,0.573,7.042,66.65,pass,F9F234709641Y82AX,2022-09-07 02:51:11,2022-09-07 02:51:56,,,,,,,LFDG_1D2F-OQC1_01_COLOR,DotCode2,F9F234709641Y82AX,BinO,BinO
wip_id,F9F23460FAZ1Y82AK,2022-09-07 02:52:03,passed,,BinB,Ramp,,Everwin,TI,N199,Baoti,0.658,7.428,65.814,pass,F9F23460FAZ1Y82AK,2022-09-07 02:51:11,2022-09-07 02:52:03,,,,,,,LFDG_1D2F-OQC1_01_COLOR,DotCode2,F9F23460FAZ1Y82AK,BinB,BinB
wip_id,F9F23430AHB1Y82AU,2022-09-07 02:52:05,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.509,6.494,68.11,pass,F9F23430AHB1Y82AU,2022-09-07 02:51:32,2022-09-07 02:52:05,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23430AHB1Y82AU,BinA,BinA
wip_id,F9F233105BR1Y82A8,2022-09-07 02:52:05,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.547,6.442,67.466,pass,F9F233105BR1Y82A8,2022-09-07 02:51:32,2022-09-07 02:52:05,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F233105BR1Y82A8,BinA,BinA
wip_id,F9F2355065M1Y82AK,2022-09-07 02:52:05,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.558,6.446,67.151,pass,F9F2355065M1Y82AK,2022-09-07 02:51:32,2022-09-07 02:52:05,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F2355065M1Y82AK,BinA,BinA
wip_id,F9F234702F81Y82A7,2022-09-07 02:52:05,passed,,BinB,Ramp,,Everwin,TI,N199,Baoti,0.599,7.138,66.96,pass,F9F234702F81Y82A7,2022-09-07 02:51:32,2022-09-07 02:52:05,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F234702F81Y82A7,BinB,BinB
wip_id,F9F235607KT1Y82A3,2022-09-07 02:52:05,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.534,6.363,66.934,pass,F9F235607KT1Y82A3,2022-09-07 02:51:32,2022-09-07 02:52:05,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235607KT1Y82A3,BinA,BinA
wip_id,F9F23440C2C1Y82A1,2022-09-07 02:52:05,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.579,6.396,66.726,pass,F9F23440C2C1Y82A1,2022-09-07 02:51:32,2022-09-07 02:52:05,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23440C2C1Y82A1,BinA,BinA
wip_id,F9F234409UU1Y82AC,2022-09-07 02:52:05,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.547,6.39,67.173,pass,F9F234409UU1Y82AC,2022-09-07 02:51:32,2022-09-07 02:52:05,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F234409UU1Y82AC,BinA,BinA
wip_id,F9F2322014S1Y82A0,2022-09-07 02:52:11,passed,,BinB,Ramp,,Everwin,TI,N199,KRS,0.507,7.25,67.537,pass,F9F2322014S1Y82A0,2022-09-07 02:51:56,2022-09-07 02:52:11,,,,,,,LFDG_1D2F-OQC1_01_COLOR,DotCode2,F9F2322014S1Y82A0,BinB,BinB
wip_id,F9F235307GA1Y82AY,2022-09-07 02:52:19,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.576,6.683,68.627,pass,F9F235307GA1Y82AY,2022-09-07 02:52:03,2022-09-07 02:52:19,,,,,,,LFDG_1D2F-OQC1_01_COLOR,DotCode2,F9F235307GA1Y82AY,BinA,BinA
wip_id,F9F2352011X1Y82AV,2022-09-07 07:03:53,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.556,6.34,68.178,pass,F9F2352011X1Y82AV,2022-09-07 07:03:20,2022-09-07 07:03:53,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F2352011X1Y82AV,BinA,BinA
wip_id,F9F23420JVC1Y82AJ,2022-09-07 02:52:21,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.939,6.547,67.476,pass,F9F23420JVC1Y82AJ,2022-09-07 02:51:49,2022-09-07 02:52:21,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23420JVC1Y82AJ,BinA,BinA
wip_id,F9F235608BZ1Y82AL,2022-09-07 02:52:21,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.938,6.524,67.184,pass,F9F235608BZ1Y82AL,2022-09-07 02:51:49,2022-09-07 02:52:21,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235608BZ1Y82AL,BinA,BinA
wip_id,F9F2346045W1Y82AE,2022-09-07 02:52:21,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.936,6.554,67.126,pass,F9F2346045W1Y82AE,2022-09-07 02:51:49,2022-09-07 02:52:21,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F2346045W1Y82AE,BinA,BinA
wip_id,F9F23060BEW1Y82AS,2022-09-07 02:52:22,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.944,6.335,67.173,pass,F9F23060BEW1Y82AS,2022-09-07 02:51:49,2022-09-07 02:52:21,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23060BEW1Y82AS,BinA,BinA
wip_id,F9F234409JG1Y82AL,2022-09-07 02:52:22,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.917,6.462,67.057,pass,F9F234409JG1Y82AL,2022-09-07 02:51:49,2022-09-07 02:52:21,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F234409JG1Y82AL,BinA,BinA
wip_id,F9F2345042J1Y82A2,2022-09-07 02:52:22,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.904,6.342,67.016,pass,F9F2345042J1Y82A2,2022-09-07 02:51:49,2022-09-07 02:52:21,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F2345042J1Y82A2,BinA,BinA
wip_id,F9F23460FQW1Y82AE,2022-09-07 02:52:26,passed,,BinO,Ramp,,Everwin,TI,N199,KRS,0.535,6.853,66.21,pass,F9F23460FQW1Y82AE,2022-09-07 02:52:11,2022-09-07 02:52:26,,,,,,,LFDG_1D2F-OQC1_01_COLOR,DotCode2,F9F23460FQW1Y82AE,BinO,BinO
wip_id,F9F234509RN1Y82AS,2022-09-07 02:52:34,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.591,6.53,66.569,pass,F9F234509RN1Y82AS,2022-09-07 02:52:19,2022-09-07 02:52:34,,,,,,,LFDG_1D2F-OQC1_01_COLOR,DotCode2,F9F234509RN1Y82AS,BinA,BinA
wip_id,F9F23560FAV1Y82AL,2022-09-07 02:52:38,passed,,BinB,Ramp,,Everwin,TI,N199,Baoti,0.628,7.342,66.664,pass,F9F23560FAV1Y82AL,2022-09-07 02:52:05,2022-09-07 02:52:38,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23560FAV1Y82AL,BinB,BinB
wip_id,F9F235404EQ1Y82AS,2022-09-07 02:52:38,passed,,BinO,Ramp,,Everwin,TI,N199,Baoti,0.56,6.71,68.1,pass,F9F235404EQ1Y82AS,2022-09-07 02:52:05,2022-09-07 02:52:38,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235404EQ1Y82AS,BinO,BinO
wip_id,F9F2347043B1Y82A4,2022-09-07 02:52:38,passed,,BinO,Ramp,,Everwin,TI,N199,Baoti,0.6,6.924,65.619,pass,F9F2347043B1Y82A4,2022-09-07 02:52:05,2022-09-07 02:52:38,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F2347043B1Y82A4,BinO,BinO
wip_id,F9F235101SX1Y82AP,2022-09-07 02:52:38,passed,,BinO,Ramp,,Everwin,TI,N199,KRS,0.601,6.934,66.965,pass,F9F235101SX1Y82AP,2022-09-07 02:52:05,2022-09-07 02:52:38,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235101SX1Y82AP,BinO,BinO
wip_id,F9F230607ZK1Y82AJ,2022-09-07 02:52:38,passed,,BinO,Ramp,,Everwin,TI,N199,Baoti,0.622,6.928,66.414,pass,F9F230607ZK1Y82AJ,2022-09-07 02:52:05,2022-09-07 02:52:38,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F230607ZK1Y82AJ,BinO,BinO
wip_id,F9F235301J21Y82A6,2022-09-07 02:52:38,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.532,6.676,67.435,pass,F9F235301J21Y82A6,2022-09-07 02:52:05,2022-09-07 02:52:38,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235301J21Y82A6,BinA,BinA
wip_id,F9F23270HJT1Y82A4,2022-09-07 02:52:38,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.584,6.488,66.172,pass,F9F23270HJT1Y82A4,2022-09-07 02:52:05,2022-09-07 02:52:38,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23270HJT1Y82A4,BinA,BinA
wip_id,F9F234609XX1Y82AY,2022-09-07 02:52:42,passed,,BinO,Ramp,,Everwin,TI,N199,Baoti,0.515,6.904,68.138,pass,F9F234609XX1Y82AY,2022-09-07 02:52:26,2022-09-07 02:52:42,,,,,,,LFDG_1D2F-OQC1_01_COLOR,DotCode2,F9F234609XX1Y82AY,BinO,BinO
wip_id,F9F235101LJ1Y82AL,2022-09-07 02:52:52,passed,,BinO,Ramp,,Everwin,TI,N199,Baoti,0.631,7.031,65.968,pass,F9F235101LJ1Y82AL,2022-09-07 02:52:34,2022-09-07 02:52:52,,,,,,,LFDG_1D2F-OQC1_01_COLOR,DotCode2,F9F235101LJ1Y82AL,BinO,BinO
wip_id,F9F23460H1V1Y82AE,2022-09-07 02:52:54,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.91,6.232,68.407,pass,F9F23460H1V1Y82AE,2022-09-07 02:52:22,2022-09-07 02:52:54,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F23460H1V1Y82AE,BinA,BinA
wip_id,F9F235507UE1Y82AQ,2022-09-07 02:52:54,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.904,6.262,67.071,pass,F9F235507UE1Y82AQ,2022-09-07 02:52:22,2022-09-07 02:52:54,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235507UE1Y82AQ,BinA,BinA
wip_id,F9F2301041K1Y82AL,2022-09-07 02:52:54,passed,,BinO,Ramp,,Everwin,TI,N199,Baoti,0.946,6.812,67.155,pass,F9F2301041K1Y82AL,2022-09-07 02:52:22,2022-09-07 02:52:54,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F2301041K1Y82AL,BinO,BinO
wip_id,F9F232603BM1Y82AC,2022-09-07 02:52:54,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.928,6.637,68.018,pass,F9F232603BM1Y82AC,2022-09-07 02:52:22,2022-09-07 02:52:54,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F232603BM1Y82AC,BinA,BinA
wip_id,F9F235607MT1Y82AX,2022-09-07 02:52:54,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.928,6.608,66.957,pass,F9F235607MT1Y82AX,2022-09-07 02:52:22,2022-09-07 02:52:54,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235607MT1Y82AX,BinA,BinA
wip_id,F9F235303TG1Y82AX,2022-09-07 02:52:54,passed,,BinA,Ramp,,Everwin,TI,N199,Baoti,0.926,6.532,68.014,pass,F9F235303TG1Y82AX,2022-09-07 02:52:22,2022-09-07 02:52:54,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F235303TG1Y82AX,BinA,BinA
wip_id,F9F234300AA1Y82AS,2022-09-07 02:52:54,passed,,BinA,Ramp,,Everwin,TI,N199,KRS,0.934,6.493,67.485,pass,F9F234300AA1Y82AS,2022-09-07 02:52:22,2022-09-07 02:52:54,,,,,,,LFDG_1D2F-OQC1_02_COLOR,DotCode2,F9F234300AA1Y82AS,BinA,BinA
wip_id,F9F23520D1U1Y82AL,2022-09-07 02:52:59,passed,,BinB,Ramp,,Everwin,TI,N199,Baoti,0.54,7.135,65.997,pass,F9F23520D1U1Y82AL,2022-09-07 02:52:42,2022-09-07 02:52:59,,,,,,,LFDG_1D2F-OQC1_01_COLOR,DotCode2,F9F23520D1U1Y82AL,BinB,BinB
wip_id,F9F234501YS1Y82A9,2022-09-07 02:53:08,passed,,BinO,Ramp,,Everwin,TI,N199,KRS,0.591,7.027,67.496,pass,F9F234501YS1Y82A9,2022-09-07 02:52:52,2022-09-07 02:53:08,,,,,,,LFDG_1D2F-OQC1_01_COLOR,DotCode2,F9F234501YS1Y82A9,BinO,BinO
