root_serial_type,root_serial,local_time,result,defects,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,ano.insight.test_attributes.test_result,ano.insight.test_attributes.uut_start,ano.insight.test_attributes.uut_stop,ano.insight.test_station_attributes.software_name,ano.insight.test_station_attributes.software_version,ano.insight.test_station_attributes.station_id,ano.insight.uut_attributes.ano_tank_id,ano.insight.uut_attributes.cp_tank_id,ano.insight.uut_attributes.dye_tank_id,ano.insight.uut_attributes.fly_bar_id,ano.insight.uut_attributes.fly_bar_locX,ano.insight.uut_attributes.fly_bar_locY,ano.insight.uut_attributes.fly_bar_locZ,ano.insight.uut_attributes.rack_id,ano.insight.uut_attributes.seal_tank_id
wip_id,F9F23550BQ81Y82A4,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23540D8Y1Y82AT,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23530HDZ1Y82A8,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235601CN1Y82A1,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F231702ZV1Y82A9,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236305QS1Y82AR,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236207DL1Y82AV,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23560FGL1Y82AB,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236208Q81Y82A7,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F2356012H1Y82A2,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F2354020H1Y82A9,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23560CP81Y82A5,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236404XS1Y82A4,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235501ZE1Y82AF,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F229102LL1Y82A6,2022-09-06 08:26:34,passed,,Ramp,Herchang,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F2315031L1Y82AD,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23530F1A1Y82A1,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23550FY71Y82AB,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F234605N91Y82AH,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23560C9K1Y82A2,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23350AC41Y82AH,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,KRS,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23520HA01Y82AH,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235400SG1Y82A2,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F23550FJ81Y82AJ,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236206FL1Y82AQ,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236301HQ1Y82AJ,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F2362005S1Y82AL,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F235402821Y82A0,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
wip_id,F9F236304LP1Y82A7,2022-09-06 08:26:34,passed,,Ramp,Everwin,TI,N199,Baoti,pass,2022-09-06 08:26:34,2022-09-06 08:26:34,MGTRACE,V1.0.10,LFDG_KY-1F-OQC1_01_ANO,-999,-999,-999,220905101,-999,-999,-999,-999,-999
